1,2,3,4,5,6,7,num
76,"Act done by a person bound, or by mistake of fact believing himself bound, by law","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by
reason of a mistake of law in good faith believes himself to be, bound by law to do it.",Were you instructed by a senior officer to do it?,Did you feel u were bound by law to do it ?,,,48
90,Consent known to be given under fear or misconception,"A consent is not such a consent as
is intended by any section of this Code, if the consent is given by a person under fear of injury, or under a
misconception of fact, and if the person doing the act knows, or has reason to believe, that the consent
was given in consequence of such fear or misconception; or
Consent of insane person.—if the consent is given by a person who, from unsoundness of mind, or
intoxication, is unable to understand the nature and consequence of that to which he gives his consent; or
Consent of child.—unless the contrary appears from the context, if the consent is given by a person
who is under twelve years of age.",was the consent given by child ,,,,62
97,Right of private defence of the body and of property,"Every person has a right, subject to the
restrictions contained in section 99, to defend—
First.—His own body, and the body of any other person, against any offence affecting the human
body;
Secondly.—The property, whether movable or immovable, of himself or of any other person, against
any act which is an offence falling under the defintion of theft, robbery, mischief or criminal trespass, or
which is an attempt to commit theft, robbery, mischief or criminal trespass.",1. Was there a serious death threat or grievous hurt threat?," was the accused falling under the definition of theft , robbery, mischief, or criminal trespass?", was there an immediate need for personal defence.,,69
98,"Right of private defence against the act of a person of unsound mind, etc","When an act,
which would otherwise be a certain offence, is not that offence, by reason of the youth, the want of
maturity of understanding, the unsoundness of mind or the intoxication of the person doing that act, or by
reason of any misconception on the part of that person, every person has the same right of private defence
against that act which he would have if the act were that offence.
Illustrations
(a) Z, under the influence of madness, attempts to kill A; Z is guilty of no offence. But A has the same right of private
defence which he would have if Z were sane.
(b) A enters by night a house which he is legally entitled to enter. Z, in good faith, taking A for a house-breaker, attacks A.
Here Z, by attacking A under this misconception, commits no offence. But A has the same right of private defence against Z,
which he would have if Z were not acting under that misconception.",1. Was there a serious death threat or grievous hurt threat?,Was the accused of sane mind?,Did the accused intentionally commit the crime?,was there an immediate need for personal defence.,70
99,Acts against which there is no right of private defence.,"There is no right of private defence
against an act which does not reasonably cause the apprehension of death or of grievous hurt, if done, or
attempted to be done, by a public servant acting in good faith under colour of his office, though that act,
may not be strictly justifiable by law.
There is no right of private defence against an act which does not reasonably cause the apprehension
of death or of grievous hurt, if done, or attempted to be done, by the direction of a public servant acting in
good faith under colour of his office, though that direction may not be strictly justifiable by law.
There is no right of private defence in cases in which there is time to have recourse to protection of
the public authorities.
Extent to which the right may be exercised.—The right of private defence in no case extends to the
inflicting of more harm than it is necessary to inflict for the purpose of defence.
Explanation 1.—A person is not deprived of the right of private defence against an act done, or
attempted to be done, by a public servant, as such, unless he knows or has reason to believe, that the
person doing the act is such public servant.
Explanation 2.—A person is not deprived of the right of private defence against an act done, or
attempted to be done, by the direction of a public servant, unless he knows, or has reason to believe, that
the person doing the act is acting by such direction, or unless such person states the authority under which
he acts, or if he has authority in writing, unless he produces such authority, if demanded.",1. Was there a serious death threat or grievous hurt threat?, was there an immediate need for personal defence.,,,71
100,When the right of private defence of the body extends to causing death,"The right of
private defence of the body extends, under the restrictions mentioned in the last preceding section, to the
voluntary causing of death or of any other harm to the assailant, if the offence which occasions the
exercise of the right be of any of the descriptions hereinafter enumerated, namely:—
First.—Such an assault as may reasonably cause the apprehension that death will otherwise be the
consequence of such assault;
Secondly.—Such an assault as may reasonably cause the apprehension that grievous hurt will
otherwise be the consequence of such assault;
Thirdly.—An assault with the intention of committing rape;
Fourthly.—An assault with the intention of gratifying unnatural lust;
Fifthly.—An assault with the intention of kidnapping or abducting;
Sixthly.—An assault with the intention of wrongfully confining a person, under circumstances which
may reasonably cause him to apprehend that he will be unable to have recourse to the public authorities
for his release.
1[Seventhly.—An act of throwing or administering acid or an attempt to throw or administer acid
which may reasonably cause the apprehension that grievous hurt will otherwise be the consequence of
such act.]", Were you entitle to one of the following:1. death would've been an otherwise consequence. 2. Grievous hurt would have been an otherwise consequence. 3. Accused had an intention of committing rape. 4. Accused had an intention of kidnapping 5. the accused did o intended to throw acid,was there an immediate need for personal defence.,,,72
101,When such right extends to causing any harm other than death,"If the offence be not of
any of the descriptions enumerated in the last preceding section, the right of private defence of the body
does not extend to the voluntary causing of death to the assailant, but does extend, under the restrictions
mentioned in section 99, to the voluntary causing to the assailant of any harm other than death.",1. Was there a serious death threat or grievous hurt threat?, was there an immediate need for personal defence.,,,73
103,When the right of private defence of property extends to causing death,"The right of
private defence of property extends, under the restrictions mentioned in section 99, to the voluntary
causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the
attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions
hereinafter enumerated, namely:—
First.—Robbery;
Secondly.—House-breaking by night;
Thirdly.—Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is
used as a human dwelling, or as a place for the custody of property;
Fourthly.—Theft, mischief, or house-trespass, under such circumstances as may reasonably cause
apprehension that death or grievous hurt will be the consequence, if such right of private defence is not
exercised."," Did the accuse commit any one of the following 1. Robbery 2. House breaking by night 3. Set up a fire 4. Theft, mischief or trespass such that death or grievous hurt will be the consequence.", was there an immediate need for personal defence.,,,75
106,"Right of private defence against deadly assault when there is risk of harm to innocent
person","If in the exercise of the right of private defence against an assault which reasonably causes the
apprehension of death, the defender be so situated that he cannot effectually exercise that right without
risk of harm to an innocent person, his right of private defence extends to the running of that risk.
Illustration
",Was there a risk of death?,Waas the harm to an innocent person a mistake by you?,,,78
109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,"Whoever abets any offence shall, if the act abetted is
committed in consequence of the abetment, and no express provision is made by this Code for the
punishment of such abetment, be punished with the punishment provided for the offence.
",Was the accused instigated by somebody?,,,,82
