1,2,3,4,5,6,7,num
1,Title and extent of operation of the Code.,"This Act shall be called the Indian Penal Code, and
shall 3[extend to the whole of India 4[except the State of Jammu and Kashmir]].",,,,,1
2,Punishment of offences committed within India.,"Every person shall be liable to punishment
under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which
he shall be guilty within 5[India] 6****.",,,,,2
3,"Punishment of offences committed beyond, but which by law may be tried within, India","
Any person liable, by any 7[Indian law], to be tried for an offence committed beyond 8[India] shall be
dealt with according to the provisions of this Code for any act committed beyond 8[India] in the same
manner as if such act had been committed within 5[India].",,,,,3
4,Extension of Code to extra-territorial offences,"[The provisions of this Code apply also to any
offence committed by—
10[(1) any citizen of India in any place without and beyond India;
(2) any person on any ship or aircraft registered in India wherever it may be.]
11[(3) any person in any place without and beyond India committing offence targeting a computer
resource located in India.]",,,,,4
8,Gender,"he pronoun “he” and its derivatives are used of any person, whether male or female.",,,,,5
11,Person,"The word “person” includes any Company or Association or body of persons,
whether incorporated or not.",,,,,6
19,Judge,"The word “Judge” denotes not only every person who is officially designated as a
Judge, but also every person.
who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or
a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by
some other authority, would be definitive, or
who is one of a body or persons, which body of persons is empowered by law to give such a
judgment.",,,,,7
20,Court of Justice,"The words “Court of Jutsice” denote a Judge who is empowered by law to
act judicially alone, or a body of Judges which is empowered by law to act judicially as a body, when
such Judge or body of Judges is acting judicially.",,,,,8
21,Public servant,"The words “public servant” denote a person falling under any of the
descriptions hereinafter following, namely:—
5* * * * *
Second.—Every Commissioned Officer in the Military, 6[Naval or Air] Forces 7[8*** of India];
9[Third.—Every Judge including any person empowered by law to discharge, whether by himself or
as a member of any body of persons, any adjudicatory functions;]
Fourth.—Every officer of a Court of Justice 10[(including a liquidator, receiver or commissioner)]
whose duty it is, as such officer, to investigate or report on any matter of law or fact, or to make,
authenticate, or keep any document, or to take charge or dispose of any property, or to execute any
judicial process, or to administer any oath, or to interpret, or to preserve order in the Court, and every
person specially authorised by a Court of Justice to perform any of such duties;
Fifth.—Every juryman, assessor, or member of a panchayat assisting a Court of Justice or public
servant;  
Sixth.—Every arbitrator or other person to whom any cause or matter has been referred for decision
or report by any Court of Justice, or by any other competent public authority;
Seventh.—Every person who holds any office by virtue of which he is empowered to place or keep
any person in confinement;
Eighth.—Every officer of 1[the Government] whose duty it is, as such officer, to prevent offences, to
give information of offences, to bring offenders to justice, or to protect the public health, safety or
convenience;
Ninth.—Every officer whose duty it is as such officer, to take, receive, keep or expend any property
on behalf of 1[the Government], or to make any survey, assessment or contract on behalf of 1[the
Government], or to execute any revenue-process, or to investigate, or to report, on any matter affecting
the pecuniary interests of 1[the Government], or to make, authenticate or keep any document relating to
the pecuniary interests of 1[the Government], or to prevent the infraction of any law for the protection of
the pecuniary interests of 1[the Government] 2***;
Tenth.—Every officer whose duty it is, as such officer, to take, receive, keep or expend any property,
to make any survey or assessment or to levy any rate or tax for any secular common purpose of any
village, town or district, or to make, authenticate or keep any document for the ascertaining of the rights
of the people of any village, town or district;
3[Eleventh.—Every person who holds any office in virtue of which he is empowered to prepare,
publish, maintain or revise an electoral roll or to conduct an election or part of an election;]
4[Twelfth.—Every person—
(a) in the service or pay of the Government or remunerated by fees or commission for the
performance of any public duty by the Government;
(b) in the service or pay of a local authority, a corporation established by or under a Central,
Provincial or State Act or a Government company as defined in section 617 of the Companies
Act, 1956 (1 of 1956).]",,,,,9
22,,"22. “Movable property”.—The words “movable property” are intended to include corporeal
property of every description, except land and things attached to the earth or permanently fastened to
anything which is attached to the earth.",,,,,10
