1,2,3,4,5,6,7,num,keyword,
109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment. influence ,"Whoever abets any offense shall, if the act abetted is
committed in consequence of the abetment, and no express provision is made by this Code for the
punishment of such abetment, be punished with the punishment provided for the offense.
Influence, Instigate, affect.",Was the accused instigated by somebody?,,,,,"Influence, Instigate, affect",
110,"Punishment of abetment if person abetted does act with different intention from that of
abettor. Influence ","Whoever abets the commission of an offence shall, if the person abetted does the act with a
different intention or knowledge from that of the abettor, be punished with the punishment provided for
the offence which would have been committed if the act had been done with the intention or knowledge
of the abettor and with no other. Threatened, abetment, influence",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,,"Threatened, abetment, influence",
112,Abettor when liable to cumulative punishment for act abetted and for act done.,"If the act
for which the abettor is liable under the last preceding section is committed in addition to the act abetted,
and constitute a distinct offence, the abettor is liable to punishment for each of the offences. abetment, influence, threatened",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,,"abetment, influence, threatened",
113,"Liability of abettor for an effect caused by the act abetted different from that intended by
the abettor.","When an act is abetted with the intention on the part of the abettor of causing a particular
effect, and an act for which the abettor is liable in consequence of the abetment, causes a different effect
from that intended by the abettor, the abettor is liable for the effect caused, in the same manner and to the
same extent as if he had abetted the act with the intention of causing that effect, provided he knew that the
act abetted was likely to cause that effect. Influence, dominating, instigate",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,,"Influence, dominating, instigate",
114,Abettor present when offence is committed.,"Whenever any person, who is absent would be
liable to be punished as an abettor, is present when the act or offence for which he would be punishable in
consequence of the abetment is committed, he shall be deemed to have committed such act or offence. confederate, ascendancy, intimidate",Was the instigator present at the place where the offence took place,,,,,"confederate, ascendancy, intimidate",
115,"Abetment of offence punishable with death or imprisonment for life -if offence not
committed.","Whoever abets the commission of an offence punishable with death or 1[imprisonment for
life], shall, if that offence be not committed in consequence of the abetment, and no express provision is
made by this Code for the punishment of such abetment, be punished with imprisonment of either
description for a term which may extend to seven years, and shall also be liable to fine;
if act causing harm be done in consequence.—and if any act for which the abettor is liable in
consequence of the abetment, and which causes hurt to any person, is done, the abettor shall be liable to
imprisonment of either description for a term which may extend to fourteen years, and shall also be liable
to fine. Frighten, terrorize, scare,",Was an offence punishable with death or imprisonment of life commited?,,,,,"Frighten, terrorize, scare,","if offence not committed : imprisonment of either  description for a term which may extend to seven years, and shall also be liable to fine                                          if act causing harm be done in consequence: imprisonment of either description for a term which may extend to fourteen years, and shall also be liable  to fine"
116,Abetment of offence punishable with imprisonment—if offence be not committed,"Whoever abets an offence punishable with imprisonment shall, if that offence be not committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with imprisonment of any description provided for that offence for a term which may extend to one-fourth part of the longest term provided for that offence; or with such fine as is provided for that offence, or with both; If abettor or person abetted be a public servant whose duty it is to prevent offence.—and if the abettor or the person abetted is a public servant, whose duty it is to prevent the commission of such offence, the abettor shall be punished with imprisonment of any description provided for that offence, for a term which may extend to one-half of the longest term provided for that offence, or with such fine as is provided for the offence, or with both. Illustrations
(a) A offers a bribe to B, a public servant, as a reward for showing A some favour in the exercise of B’s official functions. B refuses to accept the bribe. A is punishable under this sec­tion.
(b) A instigates B to give false evidence. Here, if B does not give false evidence, A has nevertheless committed the offence defined in this section, and is punishable accordingly.
(c) A, a police-officer, whose duty it is to prevent robbery, abets the commission of robbery. Here, though the robbery be not committed, A is liable to one-half of the longest term of impris­onment provided for that offence, and also to fine.
(d) B abets the commission of a robbery by A, a police-officer, whose duty it is to prevent that offence. Here, though the rob­bery be not committed, B is liable to one-half of the longest term of imprisonment provided for the offence of robbery, and also to fine. CLASSIFICATION OF OFFENCE Para I:—Punishment—Imprisonment extending to a quarter part of the longest term, provided for the offence, or fine, or both—Accord­ing to offence abetted is cognizable or non-cognizable—According as offence abetted is bailable or non-bailable—Triable by court by which offence abetted is triable—Non-compoundable. Para II: Punishment—Imprisonment extending to half of the longest term, provided for the offence, or fine, or both—According as offence abetted is cognizable or non-cognizable—According as offence abetted is bailable or non-bailable—Triable by court by which offence abetted is triable—Non-compoundable. bribe, influence, instigate, ",Was an offence punishable imprisonment commited?,,,,,"bribe, influence, instigate, ","if offence be not committed:  imprisonment of any description provided for that offence for a term which  may extend to one-fourth part of the longest term provided for that offence; or with such fine as is  provided for that offence, or with both                                            if abettor or person abetted be a public servant whose duty it is to prevent offence: imprisonment of any description provided for that offence, for  a term which may extend to one-half of the longest term provided for that offence, or with such fine as is  provided for the offence, or with both"
117,Abetting commission of offence by the public or by more than ten persons,"Whoever abets
the commission of an offence by the public generally or by any number or class of persons exceeding ten,
shall be punished with imprisonment of either description for a term which may extend to three years, or
with fine, or with both.
influence, instigate, public, ",Did the accused provoke the public or a group of more than 10 people to commit an offence?,,,,,"influence, instigate, public, ","imprisonment of either description for a term which may extend to three years, or  with fine, or with both"
118,Concealing design to commit offence punishable with death or imprisonment for life,"Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of
an offence punishable with death or 1[imprisonment for life],
[voluntarily conceals by any act or illegal omission, or by the use of encryption or any other
information hiding tool, the existence of a design] to commit such offence or makes any representation
which he knows to be false respecting such design,
if offence be committed; if offence be not committed.—shall, if that offence be committed, be
punished with imprisonment of either description for a term which may extend to seven years, or, if the
offence be not committed, with imprisonment of either description, for a term which may extend to three
years; and in either case shall also be liable to fine. hide, conceal, ",Did the acused hide the plan of an offence punishable with death or imprisonment for life?,,,,,"hide, conceal","if that offence be committed, be  punished with imprisonment of either description for a term which may extend to seven years, or, if the  offence be not committed, with imprisonment of either description, for a term which may extend to three  years; and in either case shall also be liable to fine"
119,Public servant concealing design to commit offence which it is his duty to prevent,"Whoever, being a public servant intending to facilitate or knowing it to be likely that he will thereby
facilitate the commission of an offence which it is his duty as such public servant to prevent,
1[voluntarily conceals, by any act or illegal omission or by the use of encryption or any other
information hiding tool, the existence of a design] to commit such offence, or makes any representation
which he knows to be false respecting such design
2[imprisonment for life], with imprisonment of either description for a term which may extend to ten
years, officer, prevent, hide, bribe",Did the public servant hide the plan to commit an offence which it is his duty to prevent?,,,,,"officer, prevent, hide, bribe","if the offence be committed, be punished with imprisonment of any  description provided for the offence, for a term which may extend to one-half of the longest term of such  imprisonment, or with such fine as is provided for that offence, or with both                                      if the offence be punishable with death or  2[imprisonment for life], with imprisonment of either description for a term which may extend to ten  years                                       if the offence be not committed, shall be punished with  imprisonment of any description provided for the offence for a term which may extend to one-fourth part  of the longest term of such imprisonment or with such fine as is provided for the offence, or with both"
